section,stat,raw_value,value,unit
profile,Total earnings,"£2,141,879",2141879.0,£
profile,9 darters,8,8.0,
profile,Season win %,80%,80.0,%
profile,Tour Card Years,1,1.0,
profile,FDI rating,"1,972",1972.0,
profile,Highest average,122.96,122.96,
profile,Order of Merit,1,1.0,
profile,Highest TV Average,115.96,115.96,
last_12_months,Averages,100.96,100.96,
last_12_months,180's,929,929.0,
last_12_months,Checkout Pcnt,42.97%,42.97,%
last_12_months,Pcnt Legs Won,60.04%,60.04,%
last_12_months,Highest Checkout,170,170.0,
last_12_months,First 9 Averages,111.49,111.49,
last_12_months,First 3 Averages,110.57,110.57,
last_12_months,With Throw Averages,99.47,99.47,
last_12_months,Against Throw Averages,102.70,102.7,
last_12_months,Pcnt Legs Won Throwing First,72.54%,72.54,%
last_12_months,Pcnt Legs Won Throwing Second,47.12%,47.12,%
last_12_months,171-180's,998,998.0,
last_12_months,140's,"1,268",1268.0,
last_12_months,131-140's,"1,960",1960.0,
last_12_months,Functional doubles pcnt,49.31%,49.31,%
